Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
500 FR,4:33.36,4:33.36,23,777,"""AAAA""",Northwestern vs Wisconsin,WI,UN,11/11/2017
1000 FR,9:15.15,9:15.15,23,864,2018 Winter Nationals (LCM),Northwestern vs Wisconsin,WI,UN,11/11/2017
500 FR,4:23.81,4:23.81,23,871,2019 Summer Juniors (LCM),Texas Hall of Fame Swimming In,WI,UN,11/30/2017
500 FR,4:24.68,4:24.68,23,863,2019 Summer Juniors (LCM),Texas Hall of Fame Swimming In,WI,UN,11/30/2017
200 FR,1:37.41,1:37.41,23,872,2017 US Open,Texas Hall of Fame Swimming In,WI,UN,12/1/2017
200 FR,1:38.52,1:38.52,23,842,2018 Winter Nationals (LCM),Texas Hall of Fame Swimming In,WI,UN,12/1/2017
100 FR,45.67,45.67,23,800,"""AAAA""",Texas Hall of Fame Swimming In,WI,UN,12/2/2017
1650 FR,15:04.44,15:04.44,23,925,2019 Summer Nationals (LCM),Texas Hall of Fame Swimming In,WI,UN,12/2/2017
100 FR,47.02r,47.02,23,730,"""AAA""",USC v Wisconsin,US,UN,1/15/2018
500 FR,4:27.85,4:27.85,23,831,2019 Summer Juniors (LCM),USC v Wisconsin,US,UN,1/15/2018
1000 FR,9:09.81,9:09.81,23,890,2017 US Open,USC v Wisconsin,US,UN,1/15/2018
200 FR,1:40.12,1:40.12,23,798,"""AAAA""",2018 Shamrock Invite,US,UN,1/26/2018
500 FR,4:25.17,4:25.17,23,858,2019 Summer Juniors (LCM),2018 Shamrock Invite,US,UN,1/26/2018
100 FR,46.36r,46.36,23,764,2019 Futures,2018 Shamrock Invite,US,UN,1/27/2018
500 FR,4:16.21,4:16.21,23,950,2019 Summer Nationals (LCM),2018 Men's B1G Swimming & Divi,US,UN,2/22/2018
500 FR,4:16.63,4:16.63,23,945,2019 Summer Nationals (LCM),2018 Men's B1G Swimming & Divi,US,UN,2/22/2018
200 FR,1:36.14,1:36.14,23,908,2017 US Open,2018 Men's B1G Swimming & Divi,US,UN,2/23/2018
200 FR,1:36.26,1:36.26,23,904,2017 US Open,2018 Men's B1G Swimming & Divi,US,UN,2/23/2018
1650 FR,14:52.13,14:52.13,23,958,2019 Summer Nationals (LCM),2018 Men's B1G Swimming & Divi,US,UN,2/24/2018
500 FR,4:18.36,4:18.36,23,927,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,US,UN,3/22/2018
200 FR,1:38.35,1:38.35,23,846,2019 Summer Juniors (LCM),2018 NCAA Division 1 Men's Swi,US,UN,3/23/2018
1650 FR,14:48.36,14:48.36,23,968,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,US,UN,3/24/2018
