Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
200 FL,2:04.41,2:04.41,26,794,2019 Futures,2018 UC San Diego at Cal Bapti,US,UN,1/20/2018
200 FL,2:05.38,2:05.38,26,777,2019 Futures,GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
200 FL,2:05.65,2:05.65,23,773,"""AAA""",Wingate Fall Frenzy,NC,UN,11/23/2014
200 IM,1:59.01,1:59.01,24,924,2019 Summer Juniors (LCM),2016 Division II Men's & Women,US,UN,3/9/2016
200 IM,1:59.93,1:59.93,24,905,2019 Summer Juniors (LCM),18th Annual BMC Swimming Champ,US,UN,2/11/2016
200 IM,2:00.02,2:00.02,24,903,2019 Summer Juniors (LCM),2015 Wingate Fall Frenzy,NC,UN,12/4/2015
200 IM,2:00.37,2:00.37,23,896,2019 Summer Juniors (LCM),2015 Division II Men's & Women,NC,UN,3/11/2015
200 IM,2:00.82,2:00.82,24,886,2019 Summer Juniors (LCM),2016 Division II Men's & Women,US,UN,3/9/2016
200 IM,2:01.00,2:01.00,23,882,2018 Winter Juniors (SCY),17th Annual BMC Swimming Champ,NC,UN,2/12/2015
200 IM,2:01.35,2:01.35,24,875,2018 Winter Juniors (SCY),2015 Wingate Fall Frenzy,NC,UN,12/4/2015
200 IM,2:01.62,2:01.62,26,869,2018 Winter Juniors (SCY),2018 RMAC Championships,US,UN,2/14/2018
200 IM,2:01.67,2:01.67,22,868,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
200 IM,2:01.69,2:01.69,27,868,2018 Winter Juniors (SCY),2018 NCAA Division II Champion,US,UN,3/14/2018
200 IM,2:01.72,2:01.72,22,867,2018 Winter Juniors (SCY),2014 Division II Men's & Women,US,UN,3/12/2014
200 IM,2:02.05,2:02.05,22,860,2018 Winter Juniors (SCY),16th Annual BMC Swimming Champ,US,UN,2/14/2014
200 IM,2:02.22,2:02.22,26,857,2018 Winter Juniors (SCY),2017 CBU Lancers Swim Dive Inv,US,UN,12/15/2017
200 IM,2:02.45,2:02.45,27,852,2018 Winter Juniors (SCY),2018 NCAA Division II Champion,US,UN,3/14/2018
200 IM,2:02.54,2:02.54,24,850,2018 Winter Juniors (SCY),18th Annual BMC Swimming Champ,US,UN,2/11/2016
200 IM,2:02.55,2:02.55,23,850,2018 Winter Juniors (SCY),2015 Division II Men's & Women,NC,UN,3/11/2015
200 IM,2:02.87,2:02.87,23,843,2018 Winter Juniors (SCY),17th Annual BMC Swimming Champ,NC,UN,2/12/2015
200 IM,2:04.28,2:04.28,23,815,"""AAAA""",Wingate Fall Frenzy,NC,UN,11/21/2014
200 IM,2:04.95,2:04.95,26,801,2019 Futures,2018 RMAC Championships,US,UN,2/14/2018
200 IM,2:05.09,2:05.09,24,798,"""AAAA""",USC vs UNCW vs Queens vs Winga,US,UN,1/22/2016
200 IM,2:05.41,2:05.41,23,792,"""AAAA""",Wingate Fall Frenzy,NC,UN,11/21/2014
400 IM,4:14.40,4:14.40,24,895,2019 Summer Juniors (LCM),2016 Division II Men's & Women,US,UN,3/10/2016
400 IM,4:17.60,4:17.60,24,865,2018 Winter Juniors (SCY),18th Annual BMC Swimming Champ,US,UN,2/12/2016
