Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
200 FR,2:13.42,2:13.42,14,349,"""A""",2009 CA Downey Dolphins Octobe,CA,LKWD,10/10/2009
200 FR,2:15.64,2:15.64,15,279,"""BB""",2010 CA MVN Turkey BR Meet,CA,LKWD,11/19/2010
200 FR,2:17.58,2:17.58,15,248,"""BB""",2010 CA Lakewood Holloween Int,CA,LKWD,10/30/2010
200 FR,2:18.57,2:18.57,14,263,"""BB""",2009 CA Santa Fe Springs Aquat,CA,LKWD,9/18/2009
200 FR,2:20.23,2:20.23,14,238,"""BB""","2010 CA Downey  B,R,W SC Meet",CA,LKWD,1/9/2010
200 FR,2:25.31,2:25.31,13,193,"""B""",2009 CA METRO COMM SPRING CHAM,CA,LKWD,2/21/2009
200 FR,2:25.31,2:25.31,13,193,"""B""",2009 CA METRO COMM SPRING CHAM,CA,LKWD,2/21/2009
200 FR,2:26.97,2:26.97,13,171,"""B""",2009 CA Barracuda Aquatic Club,CA,LKWD,1/17/2009
200 FR,2:27.55,2:27.55,13,164,"""B""",2008 CA Cerritos Aquatic Club,CA,LKWD,11/22/2008
200 FR,2:29.74,2:29.74,13,138,"""B""",2008 CA Metro Committee-Max Ch,CA,LKWD,12/6/2008
200 FR,2:32.53,2:32.53,13,107,"""B""",2008 CA SFSA Fall,CA,LKWD,9/20/2008
200 FR,2:56.05,2:56.05,12,13,"""Slower than B""",2007 CA Metro Comm Blue-Max Ch,CA,LKWD,12/1/2007
200 FR,3:06.05,3:06.05,12,1,"""Slower than B""","2007 CA BCH/LKWD ""BRW"" SC Meet",CA,LKWD,11/3/2007
200 FR,3:08.91,3:08.91,12,1,"""Slower than B""",2007 CA Beach IMX and Sprint C,CA,LKWD,10/13/2007
500 FR,5:51.20,5:51.20,17,321,"""BB""",2013 CA Metro Committee Spring,CA,LKWD,2/9/2013
500 FR,5:55.92,5:55.92,16,290,"""BB""",2012 CA LKWD-DA-TRID-ZAP IMX P,CA,LKWD,5/19/2012
50 BK,31.98r,31.98,22,381,"""Slower than B""",2017 CSU Bakersfield vs Cal Ba,US,UN,11/4/2017
50 BK,33.46,33.46,22,280,"""Slower than B""",2017 PCSC Pentathlon,US,UN,10/7/2017
50 BK,42.62,42.62,12,25,"""Slower than B""",2008 CA PVST Pres Day Meet,CA,LKWD,2/16/2008
50 BK,48.77,48.77,12,1,"""Slower than B""",2007 CA CERR Fall SC--3rd Corr,CA,LKWD,11/17/2007
50 BK,51.45,51.45,12,1,"""Slower than B""",2007 CA Beach IMX and Sprint C,CA,LKWD,10/13/2007
100 BK,1:09.95r,1:09.95,22,315,"""B""",2018 UC San Diego at Cal Bapti,US,UN,1/20/2018
100 BK,1:10.29,1:10.29,17,304,"""B""",2013 CA Metro Committee Spring,CA,LKWD,2/9/2013
100 BK,1:20.42,1:20.42,13,117,"""Slower than B""","2009 CA Lakewood Aquatics R,W",CA,LKWD,5/16/2009
100 BK,1:22.75,1:22.75,13,72,"""Slower than B""",2009 CA METRO COMM SPRING CHAM,CA,LKWD,2/21/2009
100 BK,1:22.75,1:22.75,13,72,"""Slower than B""",2009 CA METRO COMM SPRING CHAM,CA,LKWD,2/21/2009
100 BK,1:23.08,1:23.08,13,66,"""Slower than B""",2009 CA Barracuda Aquatic Club,CA,LKWD,1/17/2009
100 BK,1:26.31,1:26.31,13,19,"""Slower than B""",2008 CA Cerritos Aquatic Club,CA,LKWD,11/22/2008
100 BK,1:27.16,1:27.16,13,11,"""Slower than B""",2008 CA SFSA Fall,CA,LKWD,9/20/2008
200 BK,2:29.32,2:29.32,16,373,"""BB""",2012 CA LKWD-DA-TRID-ZAP IMX P,CA,LKWD,5/19/2012
50 BR,33.44,33.44,22,564,"""Slower than B""",2017 Malibu Invitational,US,UN,10/21/2017
