Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
500 FR,5:05.88,5:05.88,15,560,"""AA""",2012 CASAND Winter Age Group C,CA,SCAT,12/7/2012
500 FR,5:08.13,5:08.13,15,542,"""A""",2013 CA SCAT JO Max Championships,CA,SCAT,2/8/2013
500 FR,5:10.76,5:10.76,15,521,"""A""",2012 CA MISSION VIEJO TURKEY B,CA,SCAT,11/16/2012
1000 FR,9:38.14,9:28.14,19,754,"""AAA""",2017 RMAC Championships,US,UN,2/8/2017
1000 FR,9:40.34,9:40.34,20,744,"""AAA""",2018 RMAC Championships,US,UN,2/14/2018
1000 FR,9:42.98,9:42.98,17,732,"""AAA""",2014 CA SCS SC Senior Invite,CA,SCAT,10/18/2014
1000 FR,9:54.69,9:54.69,21,680,"""AAA""",2018 Pomona Pitzer vs Cal Bapt,US,UN,10/26/2018
1000 FR,10:09.18,10:09.18,16,633,"""AAA""",2013 CA Kevin B. Perry Senior,CA,SCAT,11/8/2013
1000 FR,10:21.98,10:21.98,15,622,"""AA""",2013 CA SCAT JO Max Championships,CA,SCAT,2/8/2013
1000 FR,10:23.19,10:23.19,15,617,"""AA""",2013 CA MVN January Blue Meet,CA,SCAT,1/11/2013
1000 FR,10:31.70,10:31.70,20,524,"""A""",GCU v. CBU v. NMSU v. Rice,US,UN,1/6/2018
1000 FR,10:40.99,10:40.99,15,545,"""A""","2012 CA ORCA  ""BRW"" SC Age Gro",CA,SCAT,12/1/2012
1650 FR,16:04.00,16:04.00,21,772,2019 Futures,2018 Mizzou Invitational,US,UN,11/17/2018
1650 FR,16:20.25,16:20.25,17,742,"""AAA""",2014 CA SCS SC Senior Invite,CA,SCAT,10/19/2014
1650 FR,16:25.48,16:25.48,17,729,"""AAA""",2014 Arena Grand Prix at Minneapolis,CA,SCAT,11/22/2014
1650 FR,16:34.80,16:34.80,17,707,"""AAA""",2015 CA SCS - ROSE Club Champions,CA,SCAT,2/16/2015
1650 FR,16:35.20,16:12.20,19,696,"""AAA""",2017 RMAC Championships,US,UN,2/11/2017
1650 FR,16:48.86,16:48.86,20,663,"""AA""",2018 RMAC Championships,US,UN,2/17/2018
1650 FR,17:20.58,17:20.58,15,638,"""AA""",2013 CA MVN January Blue Meet,CA,SCAT,1/11/2013
1650 FR,17:21.69,17:21.69,20,587,"""AA""",2018 Claremont-Scripps-Mudd @,US,UN,1/5/2018
1650 FR,17:49.86,17:49.86,15,572,"""AA""",2012 CA MISSION VIEJO TURKEY B,CA,SCAT,11/16/2012
1650 FR,18:52.19,18:52.19,15,440,"""BB""",2012 CASAND Winter Age Group C,CA,SCAT,12/7/2012
50 BK,52.00,52.00,10,1,"""Slower than B""",2007 CA South Orange County Sw,CA,TTS,8/8/2007
100 BK,1:07.17,1:07.17,15,256,"""B""",2012 CA STOP BRW AGE GROUP MEE,CA,SCAT,11/3/2012
100 BK,1:07.31,1:07.31,15,251,"""B""",2012 CA SET BACK-TO-SCHOOL MEE,CA,SCAT,9/22/2012
100 BK,1:10.23,1:10.23,15,167,"""B""",2012 CA AAA RED-WHITE MEET,CA,SCAT,5/19/2012
100 BK,1:12.26,1:12.26,14,156,"""B""","2012 CA NOVA ""R"" Max SC Age Gr",CA,SCAT,1/21/2012
100 BK,1:12.60,1:12.60,14,148,"""B""",2011 CA DA  BRW AGE GROUP MEET,CA,SCAT,12/3/2011
100 BK,1:21.41,1:21.41,14,1,"""Slower than B""",2011 CA AAA RW Meet,CA,SCAT,5/20/2011
200 BK,2:21.44,2:21.44,15,311,"""B""",2012 CA MISSION VIEJO TURKEY B,CA,SCAT,11/16/2012
100 BR,1:12.38,1:12.38,16,336,"""BB""",2013 CA SAN CLEMENTE GATOR JOM,CA,SCAT,7/19/2013
100 BR,1:16.57,1:16.57,15,244,"""B""",2012 CA SET BACK-TO-SCHOOL MEE,CA,SCAT,9/22/2012
