Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
100 FR,56.35,56.35,13,537,"""A""",2010 FL CAT Jingle Bell Meet,FL,CAT,12/3/2010
100 FR,58.28,58.28,12,589,"""AA""",2009 FL WFLA Halloween Invite,FL,CAT,10/16/2009
100 FR,58.45,58.45,12,583,"""AA""",2009 FL Jingle Bell Splash,FL,CAT,12/11/2009
100 FR,58.63,58.63,12,576,"""AA""",2009 FL Jingle Bell Splash,FL,CAT,12/11/2009
100 FR,59.55,59.55,11,686,"""AA""",2009 FL Area 3-5 Championships,FL,CAT,7/31/2009
100 FR,1:00.37,1:00.37,11,656,"""A""",2009 FL Last Chance Champs,FL,CAT,2/6/2009
100 FR,1:02.37,1:02.37,10,702,"""AAA""",2008 FL Area 3-5 Champs,FL,CAT,7/25/2008
100 FR,1:02.87,1:02.87,10,686,"""AAA""",2008 FL Area 3-5 Champs,FL,CAT,7/25/2008
100 FR,1:07.19,1:07.19,10,552,"""AA""",2007 FL Winter Haven Stingrays SCY,FL,UN,9/21/2007
100 FR,1:12.57,1:12.57,9,541,"""BB""",2007 GA Eastern Swim Classic,FL,TBAY,1/12/2007
100 FR,1:13.52,1:13.52,9,514,"""BB""",2006 FL Team Orlando Nov Invite,FL,TBAY,11/17/2006
100 FR,1:14.86,1:14.86,9,478,"""BB""",2006 FL Gator Holiday Classic,FL,TBAY,12/1/2006
100 FR,1:16.40,1:16.40,9,438,"""BB""",2006 FL Halloween Open,FL,TBAY,10/13/2006
100 FR,1:58.11,1:58.11,7,1,"""Slower than B""",2005 FL CAT Last Chance,FL,TBAY,2/18/2005
200 FR,1:35.23,1:35.23,19,934,2019 Summer Nationals (LCM),2017 FL SC Senior Champs,FL,SPA,2/24/2017
200 FR,1:36.39r,1:36.39,21,901,2017 US Open,2018 Georgia Tech Fall Invitat,FL,UN,11/16/2018
200 FR,1:36.39r,1:36.39,21,901,2017 US Open,2018 Georgia Tech Fall Invitat,FL,UN,11/16/2018
200 FR,1:36.39r,1:36.39,21,901,2017 US Open,2018 Georgia Tech Fall Invitat,FL,UN,11/16/2018
200 FR,1:36.39r,1:36.39,21,901,2017 US Open,2018 Georgia Tech Fall Invitat,FL,UN,11/16/2018
200 FR,1:36.41,1:36.41,19,900,2017 US Open,2017 FL SC Senior Champs,FL,SPA,2/24/2017
200 FR,1:36.46,1:36.46,19,899,2017 US Open,2016 FL YCF Winter Classic,FL,SPA,12/9/2016
200 FR,1:36.83,1:36.83,18,888,2019 Summer Juniors (LCM),2016 MEN'S PAC12 SWIMMING/DIVI,AZ,UN,3/2/2016
200 FR,1:37.97,1:37.97,20,857,2019 Summer Juniors (LCM),2017 UF vs. Georgia,FL,UN,10/27/2017
200 FR,1:38.33,1:38.33,17,858,2019 Summer Juniors (LCM),2014 FL CAT Jingle Bell Meet,FL,CAT,12/13/2014
200 FR,1:38.73r,1:38.73,18,836,2019 Summer Juniors (LCM),Texas Swimming & Diving Hall o,FL,UN,12/2/2015
200 FR,1:38.73,1:38.73,19,836,2019 Summer Juniors (LCM),2016 FL YCF Winter Classic,FL,SPA,12/9/2016
200 FR,1:39.07,1:39.07,21,827,2018 Winter Juniors (SCY),Florida State vs University fo,FL,UN,11/2/2018
200 FR,1:39.19,1:39.19,16,855,2018 Winter Juniors (SCY),2014 FL NASA Junior National Cham,FL,CAT,3/26/2014
200 FR,1:39.42,1:39.42,18,817,2018 Winter Juniors (SCY),UA vs WSU vs UNLV,FL,UN,10/23/2015
200 FR,1:39.45,1:39.45,19,816,2018 Winter Juniors (SCY),2016 FL SPA-PYP SAT& SUN,FL,SPA,11/20/2016
200 FR,1:39.52,1:39.52,17,826,2018 Winter Juniors (SCY),2015 FL NASA Junior National Cham,FL,CAT,3/27/2015
200 FR,1:40.08,1:40.08,19,799,2018 Winter Juniors (SCY),2017 FL CAT Al Soltis Memorial Meet,FL,SPA,1/15/2017
200 FR,1:40.70,1:40.70,16,814,2019 Futures,2014 FL NASA Junior National Cham,FL,CAT,3/26/2014
200 FR,1:40.73r,1:40.73,20,782,"""AAAA""",2017 All Florida Invitational,FL,UN,9/23/2017
200 FR,1:40.75,1:40.75,18,781,2019 Futures,Cal Men and Women Swim & Dive,US,UN,1/22/2016
200 FR,1:41.19,1:41.19,18,770,2019 Futures,Arizona vs Texas,US,UN,1/29/2016
200 FR,1:42.50,1:42.50,17,746,"""AAA""",2014 FL CAT Jingle Bell Meet,FL,CAT,12/13/2014
200 FR,1:43.63,1:43.63,17,717,"""AAA""",2015 FL CAT Al Soltis Memorial In,FL,CAT,1/18/2015
200 FR,1:43.63,1:43.63,17,717,"""AAA""",2015 FL CAT Al Soltis Memorial In,FL,CAT,1/18/2015
200 FR,1:44.79,1:44.79,16,708,"""AAA""",2014 FL CAT Last Chance,FL,CAT,3/1/2014
200 FR,1:45.10,1:45.10,15,774,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,CAT,12/14/2012
200 FR,1:46.44,1:46.44,14,788,"""AAAA""",2012 FL NASA Showcase Classic,FL,CAT,4/11/2012
200 FR,1:46.99,1:46.99,14,774,"""AAAA""",2012 FL NASA Showcase Classic,FL,CAT,4/11/2012
200 FR,1:47.05,1:47.05,15,725,"""AAA""",2012 FL CAT Jingle Bell Meet,FL,CAT,12/14/2012
200 FR,1:47.31,1:47.31,15,719,"""AAA""",2013 FL CAT Al Soltis Memorial Me,FL,CAT,1/19/2013
200 FR,1:51.24,1:51.24,14,671,"""AAA""",2012 FL CAT Last Chance TT,FL,CAT,2/11/2012
200 FR,1:53.93,1:53.93,13,701,"""AAA""",2011 FL CAT/NASA Showcase,FL,CAT,4/6/2011
200 FR,1:54.66,1:54.66,13,684,"""AAA""",2011 FL CAT/NASA Showcase,FL,CAT,4/6/2011
200 FR,1:56.32,1:56.32,13,646,"""AA""",2011 FL CAT Last Chance,FL,CAT,2/4/2011
200 FR,1:58.00,1:58.00,13,609,"""AA""",2011 FL CAT Al Soltis Memorial,FL,CAT,1/15/2011
200 FR,1:58.12,1:58.12,13,606,"""AA""",2010 FL WFLA Halloween Invite,FL,CAT,10/15/2010
200 FR,1:58.45,1:58.45,13,599,"""AA""",2010 FL CAT Fall Classic,FL,CAT,11/5/2010
200 FR,2:01.05,2:01.05,12,673,"""AAA""",2010 FL Al Soltis Memorial,FL,CAT,1/15/2010
200 FR,2:01.52,2:01.52,13,534,"""A""",2010 FL  CAT Short Course Kick Off,FL,CAT,9/25/2010
200 FR,2:01.52,2:01.52,13,534,"""A""",2010 FL CAT Short Course Kick Off,FL,CAT,9/25/2010
200 FR,2:01.66,2:01.66,12,661,"""AAA""",2009 FL Jingle Bell Splash,FL,CAT,12/11/2009
200 FR,2:02.53,2:02.53,12,644,"""AAA""",2010 FL Spring JO Champs,FL,CAT,2/18/2010
